hour,day_of_week,is_weekend,is_night,amount,merchant_category,online_order,foreign_transaction,high_risk_country,distance_from_home_km,distance_from_last_txn_km,customer_age,account_age_days,avg_spend_30d,num_txns_last_24h,transaction_velocity,used_chip,used_pin,repeat_retailer,declined_attempts_before,amount_vs_avg_ratio,Class
10,4,0,1,14.69,6,0,0,0,36.96,3.58,60,671,78.43,1,0.73,1,1,1,1,1.006,0
2,6,1,0,12.37,7,0,0,0,26.19,11.56,68,1745,71.98,2,1.89,1,0,0,0,1.0712,0
7,4,1,0,147.03,7,1,0,0,16.27,1.42,48,3324,59.73,7,3.01,1,1,1,1,1.8628,0
1,3,0,0,5.78,5,0,0,0,23.63,0.53,35,3282,83.35,3,1.18,1,1,0,1,0.9475,0
23,5,0,0,16.83,8,1,0,0,53.27,20.77,47,2348,65.14,5,2.61,1,1,1,0,1.7602,0
11,1,1,0,42.91,6,1,0,0,38.02,1.24,65,1558,90.75,2,1.42,1,0,1,0,0.7486,0
7,3,1,0,58.41,3,1,0,0,8.64,9.48,67,4801,91.83,0,2.61,1,1,0,1,1.0765,0
9,2,1,0,13.46,0,1,0,0,3.85,5.82,44,3747,65.36,6,1.95,0,0,1,0,1.0285,0
2,5,1,0,37.13,2,0,0,0,20.8,3.34,41,1952,27.8,3,1.27,1,0,0,0,0.2796,0
11,5,1,0,10.51,2,0,0,0,12.95,0.2,21,3008,39.86,6,0.99,1,1,1,0,1.081,0
2,2,1,0,8.67,3,1,0,0,46.45,0.13,25,1852,25.33,4,1.1,1,0,0,0,0.617,0
17,5,1,0,29.99,2,1,0,0,3.85,5.14,47,3244,45.01,6,1.86,1,1,1,0,1.5499,0
22,3,1,0,8.76,7,0,0,0,28.74,4.42,32,3798,164.66,6,2.13,1,0,0,1,1.2801,0
13,0,0,1,25.91,2,1,0,0,10.12,10.06,24,1087,69.42,5,0.51,1,0,1,1,1.3851,0
12,1,1,1,50.0,2,0,0,0,45.69,87.48,21,482,23.95,14,9.63,0,1,0,4,6.9713,1
8,4,1,0,14.82,9,0,1,0,1.33,3.45,20,853,88.88,1,2.68,0,1,0,1,0.8821,0
10,1,1,1,48.0,5,0,0,0,13.05,7.82,40,4487,38.83,7,1.03,0,1,0,0,0.6087,0
11,3,1,0,64.97,9,0,0,0,22.02,16.27,19,1884,22.67,7,1.18,1,1,1,1,1.2245,0
2,0,1,0,13.92,5,0,0,0,29.69,2.86,35,711,61.2,7,1.63,1,0,1,1,1.3979,0
1,5,1,0,125.37,7,0,0,0,21.36,22.02,18,4133,122.77,2,2.07,1,1,1,1,1.6849,0
2,5,1,1,12.16,2,0,0,0,1.97,25.78,46,4352,66.05,4,1.13,1,1,0,0,1.1889,0
1,0,0,0,34.78,4,0,0,0,33.11,10.23,48,152,81.81,4,0.98,1,1,1,0,0.6973,0
1,0,1,0,355.39,9,0,0,0,21.18,8.48,20,1080,57.24,0,2.98,1,1,0,1,0.2777,0
18,0,0,0,12.89,0,0,0,0,55.17,0.04,61,4074,17.54,6,2.66,1,1,1,1,1.2009,0
7,5,1,0,53.32,6,0,0,0,31.43,7.37,69,3583,14.71,1,1.79,1,0,1,1,1.5899,0
2,2,0,0,12.66,9,0,0,0,18.79,18.96,51,3562,12.81,6,1.54,1,1,1,0,0.7765,0
20,1,0,0,40.49,3,0,0,0,8.06,7.75,41,4595,167.52,1,1.16,0,1,1,0,0.9397,0
22,2,1,0,6.2,2,0,0,1,20.61,1.83,62,1965,112.27,2,2.78,1,1,1,0,0.5384,0
15,2,1,0,85.3,8,0,0,0,16.15,2.83,28,1564,19.58,7,2.32,1,1,1,0,0.6416,0
8,2,1,1,86.01,7,0,0,0,25.4,12.91,58,3018,33.24,0,1.31,0,0,1,1,0.1231,0
15,0,0,1,5.92,2,0,0,0,22.96,5.64,72,162,66.12,4,2.26,0,0,0,0,1.4707,0
4,5,1,0,50.75,4,0,0,0,26.75,1.1,58,1644,111.64,0,1.54,1,1,1,1,1.3935,0
11,5,0,0,104.73,2,0,0,0,14.92,0.84,31,3268,35.06,2,3.13,1,1,1,1,1.3565,0
7,1,1,0,4.3,1,0,0,0,69.9,14.83,19,1158,42.11,5,2.85,1,0,1,0,1.5424,0
18,5,0,0,83.56,4,0,0,0,21.71,17.06,62,2904,33.15,2,2.56,1,0,1,0,0.4604,0
8,0,0,0,17.15,5,1,0,0,52.26,7.2,19,4195,27.37,7,2.69,1,1,0,0,0.6072,0
21,5,1,0,9.14,8,0,0,0,18.8,4.3,62,3580,78.41,1,1.29,0,0,1,0,0.9474,0
0,2,1,0,21.01,3,0,0,0,1.11,5.4,21,807,103.61,6,1.33,1,1,1,1,1.0332,0
8,3,1,1,54.7,2,0,0,0,20.57,8.91,65,1513,92.87,6,2.69,1,1,1,0,0.3056,0
6,5,0,0,15.36,4,0,0,0,49.72,11.7,22,194,12.21,5,2.71,1,1,1,1,0.6827,0
1,5,0,0,74.03,4,1,0,0,6.14,9.57,52,1761,71.76,7,1.35,1,1,1,1,0.8234,0
7,6,1,0,18.3,7,0,0,0,32.22,3.82,37,3190,214.93,1,0.67,0,1,1,1,1.0276,0
13,1,1,0,145.98,4,1,0,0,20.78,9.38,45,3966,65.33,3,2.11,1,1,1,0,1.1428,0
17,1,1,1,758.84,1,0,0,0,44.42,24.9,61,255,70.16,5,1.23,0,0,1,0,1.4662,0
18,0,1,0,9.83,4,0,0,0,23.54,7.31,37,3304,30.27,1,1.79,0,0,1,1,0.9023,0
10,4,0,0,63.3,4,0,0,0,6.66,4.85,69,3544,77.76,7,2.38,1,1,1,0,0.8768,0
18,4,1,0,60.9,5,0,0,0,9.75,3.07,60,164,27.2,5,2.69,1,1,0,0,0.4387,0
23,5,1,0,39.74,9,0,0,0,18.81,5.03,56,4290,278.07,1,0.21,0,1,1,0,0.8591,0
6,3,0,0,222.55,1,0,0,0,14.67,6.46,36,3736,125.94,2,1.52,1,1,1,1,1.4386,0
13,2,1,0,9.45,6,1,0,0,20.5,1.75,49,3938,365.59,3,1.56,1,1,1,1,1.1389,0
8,3,0,0,11.77,7,0,1,0,5.2,0.2,60,2224,119.15,4,0.29,1,0,0,0,0.1328,0
16,1,1,0,3.32,0,0,0,0,5.06,18.91,26,4135,79.0,7,2.23,1,1,1,1,0.549,0
7,1,1,1,107.39,4,0,1,0,18.67,0.08,73,929,16.17,4,1.04,1,1,1,1,0.7862,0
12,3,0,0,57.53,8,1,0,0,23.87,6.2,31,4783,66.22,6,1.81,1,1,1,1,0.5299,0
15,5,1,0,13.72,3,0,0,0,22.37,8.24,62,653,88.46,0,2.22,1,1,1,0,1.3479,0
16,2,0,0,19.76,4,0,0,0,5.69,14.6,44,190,29.2,4,1.03,1,1,1,0,1.202,0
22,1,1,0,635.42,3,1,1,0,15.07,5.13,56,4401,22.52,3,2.28,1,1,0,1,0.8551,0
11,6,0,0,48.63,2,0,0,0,16.8,2.75,34,4563,43.46,5,2.67,1,1,1,0,1.5086,0
8,6,0,0,32.72,4,0,0,0,13.59,1.33,32,4775,28.22,7,0.73,1,1,0,0,0.7311,0
13,6,1,0,133.91,3,0,0,0,13.15,14.27,72,1362,42.03,7,3.1,1,1,0,1,0.64,0
14,4,1,0,5.82,6,1,0,0,49.62,11.59,56,2596,39.85,6,2.26,1,1,1,1,0.8499,0
1,2,0,1,214.48,5,1,0,0,18.29,4.67,69,2766,142.44,2,2.28,0,1,1,0,1.277,0
3,3,0,0,190.21,7,1,0,0,26.05,23.65,54,4607,50.68,7,3.11,0,0,1,0,1.0411,0
11,2,1,0,83.4,6,0,0,0,0.12,9.96,56,1531,40.16,3,1.48,1,1,1,0,0.5143,0
13,0,1,0,106.58,6,0,0,0,39.99,0.42,41,2062,60.48,7,1.76,1,1,1,0,0.2551,0
7,5,0,0,143.32,8,0,0,0,1.94,5.94,50,3555,121.47,1,0.95,1,1,1,1,1.3599,0
11,2,1,1,34.07,0,1,0,0,14.07,1.27,41,2559,32.49,2,1.81,1,1,0,1,0.9881,0
1,2,1,0,28.37,3,0,0,0,27.43,14.57,18,1293,67.77,1,2.12,1,1,0,1,1.2564,0
20,3,1,0,227.62,3,0,0,0,4.63,20.04,31,4624,228.99,0,0.87,1,1,1,1,0.0172,0
18,6,1,0,39.54,2,0,0,0,28.71,7.24,29,43,82.21,4,1.97,1,1,1,1,0.7799,0
1,2,0,1,184.26,9,0,0,0,23.02,14.9,65,2453,43.73,2,3.84,1,1,1,1,1.1049,0
1,4,1,1,27.83,2,0,0,0,25.67,21.18,56,4557,23.52,1,3.61,1,1,1,1,0.7858,0
1,3,1,0,98.41,6,1,0,0,1.01,1.8,18,3755,123.32,0,3.7,0,1,0,1,1.036,0
1,1,0,0,23.63,8,0,0,0,27.03,5.63,46,544,58.34,1,3.88,1,1,0,1,1.0324,0
17,2,1,1,31.12,6,1,0,0,20.91,18.76,39,2717,131.52,7,1.91,1,1,0,0,0.871,0
11,1,1,0,7.1,3,0,0,0,44.15,2.14,38,1208,102.35,3,3.58,1,1,1,1,0.6908,0
16,0,1,0,279.92,1,0,0,0,17.02,13.43,42,2894,52.73,0,3.07,1,1,0,0,1.1511,0
2,6,0,0,9.18,6,0,0,0,2.86,2.31,49,2664,10.77,6,2.81,1,1,1,0,1.2375,0
10,2,0,0,14.1,5,0,0,0,48.78,15.7,46,1314,281.48,7,0.72,1,1,1,0,0.9417,0
2,5,1,0,283.56,4,0,0,0,24.87,6.27,56,2018,108.72,1,3.57,1,1,1,0,1.4626,0
0,2,0,1,32.03,8,0,0,0,8.16,11.54,32,1149,31.45,4,0.87,1,1,0,1,1.1425,0
4,0,0,0,124.17,1,0,0,0,18.24,1.69,30,3617,36.78,7,1.99,0,1,0,1,1.0315,0
21,5,1,0,87.93,3,0,0,0,27.8,10.6,36,1014,79.29,1,2.18,1,0,0,0,0.8188,0
1,3,1,0,18.36,3,0,0,0,15.3,0.71,26,2966,17.15,6,2.55,0,0,0,1,0.9888,0
0,4,1,1,26.35,7,0,0,0,9.35,13.41,24,3795,22.15,2,2.53,1,1,1,1,1.5845,0
6,2,0,0,88.86,5,0,0,0,3.58,3.4,21,3771,67.73,6,0.4,0,1,1,1,2.1462,0
20,2,0,0,36.05,7,1,0,0,49.73,2.39,73,3749,39.84,2,3.07,1,1,1,0,1.0212,0
1,3,1,0,156.83,0,0,1,1,26.68,18.83,63,746,20.73,7,1.48,1,0,1,0,0.7436,0
8,4,0,1,2.02,9,0,0,0,40.12,9.9,62,1358,90.75,4,1.63,1,1,1,1,0.9826,0
4,0,0,0,22.87,7,0,0,0,2.44,13.88,46,4485,64.16,0,3.44,0,1,1,1,0.8565,0
20,2,0,0,41.97,3,0,0,0,24.16,4.5,45,280,121.48,7,3.01,1,1,0,1,0.9262,0
4,0,1,1,57.21,5,1,0,0,32.8,4.72,52,2881,10.0,6,0.86,1,1,0,1,0.5299,0
3,6,1,0,2.42,9,0,0,0,10.08,2.62,49,653,32.96,1,3.31,1,0,0,1,1.2479,0
8,4,1,0,23.54,4,0,0,0,36.01,7.14,52,854,72.73,3,2.44,1,0,1,0,0.8508,0
11,2,1,0,21.18,7,0,0,0,10.24,6.79,74,4373,33.11,5,0.9,1,1,0,0,0.7919,0
15,0,1,0,14.58,4,1,0,0,23.14,8.32,65,404,535.95,6,0.58,1,1,1,0,0.7559,0
20,6,1,1,27.43,4,0,0,0,12.84,8.83,36,1630,117.87,1,2.93,1,0,0,0,1.019,0
10,4,1,0,9.36,2,0,0,0,35.87,0.12,19,637,54.94,7,1.08,1,1,0,0,0.656,0
6,6,0,0,26.8,7,0,0,0,11.3,21.17,37,400,29.66,7,0.01,0,0,0,1,1.3162,0
2,5,0,0,7.12,0,0,0,0,15.49,2.17,57,2258,76.27,4,1.17,1,1,1,1,1.6712,0
19,6,1,0,5.4,5,0,0,0,4.83,5.48,22,3735,33.14,4,3.55,1,1,0,1,0.9953,0
21,3,1,0,9.52,2,0,0,0,62.4,6.54,70,1809,48.75,3,1.7,1,0,0,0,1.2,0
18,4,0,1,534.84,6,0,1,0,66.93,4.32,50,698,19.45,4,1.28,0,0,0,1,1.4334,0
0,1,0,0,960.57,0,0,0,0,0.79,19.47,26,4071,24.58,6,1.9,1,1,0,0,1.0909,0
12,2,0,1,31.72,2,0,0,0,22.37,18.14,18,4248,18.04,3,2.04,1,1,1,0,0.7369,0
11,5,1,1,133.99,3,0,0,0,3.22,18.96,63,1819,18.49,4,2.71,0,1,1,0,0.8563,0
3,6,1,0,33.6,0,0,0,0,64.07,11.39,37,1806,53.65,1,2.7,0,1,0,1,1.0934,0
5,2,0,1,17.83,4,0,1,0,20.34,21.74,28,2202,125.91,1,2.32,1,0,1,0,0.6174,0
4,3,1,0,35.92,6,0,0,0,9.4,2.51,47,3381,46.25,2,2.66,0,1,0,0,1.0817,0
6,1,1,0,20.17,0,0,0,0,23.76,14.38,56,3266,23.96,0,2.32,1,1,1,0,1.4898,0
1,1,0,0,13.95,5,0,0,0,46.86,14.9,29,3392,89.13,7,1.08,1,1,1,0,0.9825,0
4,0,0,1,228.58,6,0,0,0,18.56,0.69,72,1699,124.02,7,0.41,1,1,1,0,2.2087,0
7,2,1,1,95.14,2,1,0,0,13.87,5.08,72,450,14.85,6,1.99,0,1,1,1,0.6002,0
10,4,0,0,10.06,2,1,0,0,29.63,11.72,63,766,47.64,2,2.18,1,1,0,1,0.956,0
15,3,1,0,20.16,4,0,0,0,43.91,15.94,39,4525,119.67,6,2.5,1,0,1,1,0.7595,0
20,2,0,0,50.24,4,0,0,0,22.45,8.58,39,3020,54.35,3,1.77,1,1,0,0,1.5443,0
10,3,0,0,29.55,0,1,0,0,14.28,15.89,19,3174,98.1,0,0.3,1,1,0,1,0.6772,0
9,0,0,0,8.97,7,0,0,0,19.19,17.01,25,927,13.04,1,2.38,1,1,1,0,1.9138,0
6,6,0,0,13.74,1,0,0,0,52.58,6.91,66,201,45.48,4,0.68,0,1,0,0,1.2235,0
13,0,1,1,127.41,8,0,0,0,20.08,2.85,65,2998,73.65,7,2.82,1,0,0,0,1.2645,0
7,0,1,1,19.75,4,0,0,0,13.72,1.26,29,2253,10.0,0,0.61,1,0,0,1,0.8913,0
12,2,1,1,28.48,2,0,0,0,41.48,8.87,62,3544,16.17,1,1.54,1,0,0,0,0.7978,0
20,1,0,0,6.82,4,0,0,0,13.06,2.39,61,4466,68.85,2,1.12,1,1,1,0,1.2566,0
5,6,1,0,34.19,5,0,0,0,13.41,3.1,46,164,22.56,5,1.94,0,1,0,0,0.7742,0
22,1,0,1,7.73,9,0,0,0,3.11,7.87,69,1335,78.66,2,0.69,1,0,1,0,0.9524,0
18,4,0,0,26.54,5,0,1,0,47.87,7.46,18,3861,19.22,3,1.03,1,1,0,1,0.9984,0
1,3,1,0,3.25,9,0,0,0,33.48,0.44,26,2565,62.6,6,1.44,1,1,1,1,1.0726,0
22,4,0,1,49.71,0,0,0,0,2.37,16.35,39,2241,13.49,6,2.52,1,1,1,0,0.6197,0
3,6,0,0,78.76,8,1,0,0,15.2,12.39,64,1213,29.97,5,2.9,1,1,0,0,1.3382,0
12,2,1,0,15.88,0,1,0,0,13.76,0.14,51,3092,40.16,5,2.08,1,1,0,1,0.7248,0
3,1,0,1,19.8,7,0,0,0,17.36,2.36,26,511,256.85,5,2.38,1,1,0,0,1.1272,0
5,0,1,0,140.97,0,1,0,0,7.97,1.23,23,1275,93.24,2,2.91,1,0,1,0,1.1146,0
13,4,1,0,26.46,9,0,0,0,12.71,1.78,50,885,49.19,6,2.22,1,0,1,1,0.9755,0
22,3,0,0,22.42,9,0,0,0,13.63,5.77,44,2621,120.56,2,1.45,1,0,1,1,0.3613,0
22,1,1,1,6.69,2,0,0,0,13.42,10.39,68,2586,47.11,1,0.28,1,0,1,1,0.821,0
6,0,1,0,11.28,3,0,0,0,53.66,16.2,46,1319,66.4,6,1.92,1,1,0,0,1.271,0
5,1,0,0,13.51,8,0,0,0,1.55,3.2,40,124,72.37,6,1.7,1,0,1,1,1.6403,0
2,6,0,0,48.93,3,1,0,0,47.58,16.23,49,430,39.68,7,0.21,1,1,0,1,0.4922,0
6,6,0,0,256.69,5,0,0,0,18.49,14.6,38,3250,61.97,4,3.13,1,1,1,1,0.695,0
20,4,0,0,18.7,0,1,0,0,5.46,4.4,61,3995,80.06,6,0.95,1,1,1,0,1.2097,0
12,2,1,0,34.81,6,0,0,0,2.89,5.19,42,4453,39.31,5,1.53,1,1,1,0,1.4326,0
10,0,0,0,39.31,5,1,0,0,7.89,24.78,25,3483,31.02,0,1.68,1,1,1,0,1.4443,0
9,5,1,0,45.04,7,0,0,0,17.09,1.32,21,3396,73.78,0,3.0,1,1,1,1,1.1693,0
2,6,0,0,16.24,8,0,0,0,8.76,6.27,38,55,47.77,5,1.56,1,1,0,1,0.8186,0
19,4,0,0,75.73,7,0,0,0,11.06,12.12,68,302,36.6,1,2.88,1,0,1,0,1.5434,0
11,0,0,1,471.97,2,0,0,1,29.53,61.39,65,261,79.16,18,5.22,1,0,0,1,5.503,1
9,2,1,1,1.96,8,1,0,0,2.2,11.17,23,4627,58.41,5,2.55,1,1,1,1,1.2066,0
13,4,0,0,11.91,8,1,0,0,14.43,25.41,37,4319,216.33,6,2.74,1,0,1,0,1.0412,0
3,3,0,0,6.31,4,0,0,0,71.21,15.98,19,3427,42.71,3,0.96,0,0,1,1,1.0671,0
0,2,1,1,14.53,4,0,0,0,37.76,20.56,39,2605,20.42,1,2.58,1,1,1,0,0.6823,0
5,3,1,0,36.01,2,0,0,0,50.27,1.52,20,1741,10.0,1,1.8,1,0,1,1,1.3488,0
11,4,1,1,19.32,3,0,0,0,31.71,16.34,45,2490,49.16,1,2.01,1,1,1,0,1.1318,0
9,4,1,0,19.17,3,0,0,0,8.38,6.76,21,1128,44.68,4,2.52,1,1,0,1,1.5631,0
18,5,1,0,24.39,5,0,0,0,39.74,14.81,64,3321,35.92,5,1.23,0,1,0,0,1.0151,0
19,3,1,0,11.43,5,0,0,0,6.97,16.24,19,624,30.56,3,2.57,1,0,1,0,0.9063,0
6,4,1,1,82.69,9,1,0,0,16.71,0.02,24,1097,149.85,7,2.09,1,1,1,1,1.5578,0
7,1,0,0,55.39,8,0,0,0,0.69,5.21,21,4840,31.39,1,3.87,1,1,1,0,0.5019,0
9,6,0,0,4.19,2,0,0,0,23.95,7.43,28,4026,12.96,4,2.2,1,1,0,0,1.2925,0
22,3,1,1,12.1,9,0,0,0,19.74,2.39,32,198,75.51,5,3.23,1,1,1,0,1.3871,0
16,3,1,0,213.17,2,1,0,0,16.75,5.61,47,2824,27.19,0,2.56,1,0,0,0,1.3769,0
15,2,0,0,68.82,2,0,0,0,21.89,4.56,70,1783,45.21,7,1.4,0,1,1,0,0.8785,0
0,5,1,1,68.93,6,0,0,0,5.4,13.28,69,990,120.15,0,1.3,1,1,1,0,1.1411,0
21,5,0,0,124.96,6,0,0,0,11.13,5.2,62,1905,31.87,6,1.05,1,1,1,0,0.5368,0
7,0,0,0,78.46,3,0,0,0,7.48,7.61,63,3135,75.5,6,1.76,1,0,1,1,1.2716,0
23,4,1,0,18.62,7,1,0,0,49.42,16.86,28,3390,52.88,0,2.43,1,0,1,0,1.1955,0
0,4,1,1,21.75,9,1,0,0,26.34,13.05,45,4027,33.52,4,0.3,1,1,1,0,1.5871,0
3,1,1,0,7.19,7,1,0,0,28.6,23.3,72,3899,100.18,6,1.17,1,1,1,0,0.6661,0
9,1,0,0,18.18,5,1,0,1,26.42,12.91,18,3488,49.32,3,1.43,1,1,1,1,1.0766,0
22,5,0,0,11.72,5,0,0,0,20.6,14.49,70,4669,16.91,7,1.73,1,1,0,1,0.9995,0
16,6,1,0,27.55,0,0,1,0,1.86,19.65,33,4231,24.49,6,1.64,1,1,0,0,1.1439,0
13,3,0,1,50.0,1,1,1,0,41.7,165.19,52,378,25.63,19,6.34,0,1,0,1,2.7306,1
16,5,1,1,195.38,2,1,0,0,0.51,21.17,57,713,11.84,3,2.71,1,1,0,1,2.0843,0
6,4,1,0,179.46,8,1,0,1,12.36,0.59,52,4934,11.16,0,2.38,0,1,0,0,1.2753,0
4,5,0,0,47.56,9,0,0,0,0.66,16.51,42,2947,23.52,3,2.78,1,1,1,0,0.6676,0
3,4,1,1,9.93,3,0,0,0,37.05,6.6,51,136,78.23,6,2.31,1,0,0,1,1.6263,0
13,4,0,0,159.27,6,1,0,0,48.93,22.0,22,4276,15.29,2,1.95,1,1,1,1,1.1912,0
6,3,0,0,17.87,7,1,0,0,44.4,19.29,44,3439,78.88,3,1.16,1,0,1,1,0.5765,0
10,6,0,0,67.62,6,1,0,0,27.04,11.17,38,2289,19.56,7,1.54,1,1,1,1,0.889,0
11,6,1,1,478.06,1,0,0,0,15.67,4.81,44,204,61.48,5,0.99,1,1,0,1,1.1562,0
3,2,0,1,28.27,1,0,0,0,6.3,4.35,69,3821,84.11,2,3.17,1,1,0,1,1.1027,0
7,5,1,0,17.58,4,0,0,0,21.87,1.55,64,2966,87.61,3,2.34,1,1,0,1,0.8222,0
15,2,0,0,120.65,9,0,0,0,7.89,11.92,32,2181,47.25,1,3.24,1,1,1,1,0.6165,0
2,1,1,1,20.74,4,0,0,0,18.13,19.44,69,4922,151.07,0,2.54,1,1,1,0,1.0231,0
11,4,0,1,24.36,9,0,0,0,17.57,5.34,71,2887,90.35,6,0.92,1,1,1,1,0.9455,0
18,3,1,0,24.52,6,0,0,0,18.34,18.79,70,1062,109.17,2,2.63,1,1,1,0,1.1493,0
13,4,1,0,398.92,7,1,0,0,5.11,3.73,24,2803,12.83,1,1.9,1,1,0,0,0.6948,0
17,4,0,0,1593.11,2,0,0,0,38.9,0.9,27,2913,22.24,0,1.16,1,0,1,0,0.4938,0
9,6,0,0,56.67,8,0,0,0,6.38,11.68,21,4318,161.41,6,0.88,1,1,1,1,0.8786,0
1,5,1,0,41.74,9,0,0,0,4.17,18.95,35,3775,40.5,3,1.62,1,1,0,1,0.751,0
7,6,1,1,14.09,7,0,0,0,18.04,16.23,66,382,122.51,1,1.41,1,1,1,1,1.3818,0
6,2,1,1,42.91,5,0,0,0,6.85,7.22,54,477,69.52,6,2.21,1,1,1,1,1.3865,0
2,5,1,0,16.83,4,0,0,0,23.11,13.28,29,672,234.95,5,2.44,1,1,1,1,1.2237,0
8,3,0,1,123.3,7,1,1,1,81.63,257.09,31,98,181.26,5,4.97,0,1,0,4,2.9566,1
7,6,0,0,331.26,2,1,0,0,32.4,5.09,51,2855,53.34,3,2.48,1,0,1,1,0.6177,0
16,5,0,0,28.29,9,1,0,0,12.15,10.29,71,1532,34.61,3,1.19,1,1,1,0,1.1227,0
3,1,1,0,45.75,1,0,1,0,0.63,4.46,19,1113,217.57,2,0.98,1,1,1,0,1.5277,0
